up_date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock
2020-02-05,29048.73047,29308.89063,29000.84961,29290.84961,357540000,0,0,Dow Jones
2020-02-05,9574.099609,9574.94043,9454.929688,9508.679688,2462470000,0,0,Nasdaq
2020-02-06,3344.919922,3347.959961,3334.389893,3345.780029,3868370000,0,0,S&P500
2020-02-06,29388.58008,29408.05078,29246.92969,29379.76953,263700000,0,0,Dow Jones
2020-02-06,9540.980469,9575.660156,9505.679688,9572.150391,2267300000,0,0,Nasdaq
2020-02-07,3335.540039,3341.419922,3322.120117,3327.709961,3730650000,0,0,S&P500
2020-02-07,29286.91992,29286.91992,29056.98047,29102.50977,252860000,0,0,Dow Jones
2020-02-07,9526.639648,9570.089844,9496.530273,9520.509766,2238670000,0,0,Nasdaq
2020-02-10,3318.280029,3352.26001,3317.77002,3352.090088,3450350000,0,0,S&P500
2020-02-10,28995.66016,29278.07031,28995.66016,29276.82031,250510000,0,0,Dow Jones
2020-02-10,9493.629883,9628.660156,9493.629883,9628.389648,2179310000,0,0,Nasdaq
2020-02-11,3365.870117,3375.629883,3352.719971,3357.75,3760550000,0,0,S&P500
2020-02-11,29390.71094,29415.39063,29210.4707,29276.33984,279540000,0,0,Dow Jones
2020-02-11,9680.889648,9714.740234,9617.209961,9638.94043,2423670000,0,0,Nasdaq
2020-02-12,3370.5,3381.469971,3369.719971,3379.449951,3926380000,0,0,S&P500
2020-02-12,29406.75,29568.57031,29406.75,29551.41992,309530000,0,0,Dow Jones
2020-02-12,9688.599609,9728.769531,9666.69043,9725.959961,2355000000,0,0,Nasdaq
2020-02-13,3365.899902,3385.090088,3360.52002,3373.939941,3498240000,0,0,S&P500
2020-02-13,29436.0293,29535.40039,29345.92969,29423.31055,291150000,0,0,Dow Jones
2020-02-13,9657.040039,9748.320313,9650.019531,9711.969727,2239270000,0,0,Nasdaq
2020-02-14,3378.080078,3380.689941,3366.149902,3380.159912,3398040000,0,0,S&P500
2020-02-14,29440.4707,29463.03906,29283.17969,29398.08008,231000000,0,0,Dow Jones
2020-02-14,9728.900391,9746.360352,9693.049805,9731.179688,2222240000,0,0,Nasdaq
2020-02-18,3369.040039,3375.01001,3355.610107,3370.290039,3746720000,0,0,S&P500
2020-02-18,29282.7793,29330.16016,29116.81055,29232.18945,256600000,0,0,Dow Jones
2020-02-18,9679.040039,9747.679688,9675.799805,9732.740234,2273460000,0,0,Nasdaq
2020-02-19,3380.389893,3393.52002,3378.830078,3386.149902,3600150000,0,0,S&P500
2020-02-19,29312.69922,29409.08984,29274.38086,29348.0293,240640000,0,0,Dow Jones
2020-02-19,9782.80957,9838.370117,9777.099609,9817.179688,2462530000,0,0,Nasdaq
2020-02-20,3380.449951,3389.149902,3341.02002,3373.22998,4007320000,0,0,S&P500
2020-02-20,29296.25,29368.44922,28959.65039,29219.98047,287780000,0,0,Dow Jones
